sum(long_shots),sum(shot_power)
69,109
934,1118
867,937
383,781
311,612
1102,1147
75,105
796,904
12,26
480,526
100,188
849,878
72,111
845,928
1577,1610
154,160
158,346
721,984
651,687
78,96
487,491
37,57
338,543
771,779
53,57
110,138
118,126
52,48
150,168
389,403
204,236
214,260
95,167
888,946
53,81
452,588
544,567
1184,1291
438,536
313,295
461,514
94,196
587,594
576,701
315,481
164,186
254,276
151,171
305,362
389,476
330,315
576,690
407,523
609,769
523,540
452,518
40,57
199,247
111,126
144,180
262,363
843,952
903,989
915,1031
283,299
48,66
351,330
1016,1101
625,742
1210,1445
45,70
109,117
406,480
899,946
178,196
213,278
529,666
462,687
118,120
960,1202
44,34
264,248
585,673
97,131
672,786
654,682
456,454
249,303
1185,1298
128,301
37,55
91,109
256,257
137,198
72,165
225,387
194,291
414,407
276,276
330,415
222,215
465,599
118,136
885,856
141,181
772,881
1210,1242
141,198
290,512
1213,1165
919,1059
924,967
266,341
335,337
214,246
707,803
774,775
222,223
288,301
1012,1195
356,394
232,313
97,196
650,770
160,155
521,528
420,438
932,1148
584,556
214,222
100,128
467,465
489,635
218,290
199,263
819,847
208,218
2345,2341
1894,1907
209,206
1042,1190
518,620
811,905
471,467
961,1291
225,294
176,209
136,146
1034,1142
119,120
1526,1545
201,171
558,616
585,468
309,358
550,588
83,149
167,192
362,363
32,71
816,874
136,124
478,433
366,366
627,617
352,330
94,94
1356,1381
199,243
334,478
227,378
710,699
717,698
109,101
221,272
1512,1826
454,455
578,595
340,360
925,903
725,1024
2012,2239
104,122
35,44
782,823
120,149
396,370
88,148
66,61
422,439
410,437
39,52
892,907
1958,2027
504,547
570,619
1003,1039
201,339
379,398
613,665
527,474
403,410
833,947
330,394
284,392
836,954
247,336
748,812
186,199
649,808
89,122
262,483
307,325
541,570
50,96
187,199
81,112
26,41
261,309
43,57
70,86
1025,1111
206,213
442,559
648,659
62,56
32,26
483,547
164,196
393,554
1047,1269
342,414
180,189
99,118
265,273
636,829
43,60
278,351
402,391
630,999
41,62
423,426
259,284
1264,1268
752,883
1557,1530
97,132
381,384
110,126
90,100
785,986
597,681
80,161
56,157
329,328
260,290
347,335
736,901
353,414
294,369
53,52
820,830
286,363
186,318
50,114
18,46
1119,1138
44,84
226,422
177,213
751,957
561,678
677,706
152,172
1283,1379
406,403
418,454
1916,1939
347,539
72,99
1291,1220
40,100
756,682
56,93
140,343
160,160
856,980
295,288
562,557
209,354
514,569
462,500
48,150
515,577
829,1149
86,175
403,374
136,306
367,444
212,232
720,677
378,224
704,727
111,123
218,362
1134,1244
42,49
138,152
49,55
248,137
281,305
300,286
931,1003
251,274
111,170
716,923
1393,1528
305,325
207,522
1125,1167
735,895
811,814
1132,1044
565,622
360,527
113,144
367,382
417,451
796,880
55,66
309,316
21,42
1023,1104
1084,1162
152,200
494,614
208,240
149,265
781,888
187,248
453,536
581,607
190,175
258,271
189,257
805,841
662,664
176,220
123,174
648,708
454,475
59,66
538,551
89,127
61,68
286,250
83,90
980,986
420,434
968,1039
561,741
1047,1026
548,592
193,181
256,232
234,426
44,89
1252,1136
1496,1450
1139,1200
201,246
599,922
1349,1494
196,204
93,204
116,128
243,378
393,435
645,661
81,91
1302,1764
450,658
637,634
236,252
364,591
174,190
1318,1483
768,827
1152,1149
2773,2735
99,174
65,66
88,137
562,715
86,216
1070,1133
2889,3307
261,403
312,379
367,389
69,100
252,263
680,611
176,336
138,146
247,279
135,267
384,440
529,584
67,91
24,52
841,860
442,534
122,181
525,607
137,146
392,400
204,244
758,757
313,612
120,205
645,578
27,25
1097,1210
382,412
330,505
571,605
498,828
871,943
104,135
177,138
198,210
809,847
851,965
650,680
131,171
165,174
89,95
487,662
747,901
1344,1373
430,423
586,637
1134,1177
464,516
105,220
723,780
59,63
625,1045
707,776
1037,1137
1117,1048
721,941
770,835
358,400
49,92
480,508
126,193
1056,1187
964,1041
663,823
38,59
58,106
563,569
498,583
554,500
114,128
126,110
805,965
288,305
1407,1507
75,108
411,429
407,480
254,357
1188,1266
47,111
486,519
159,201
487,538
143,239
877,925
820,921
475,453
252,641
192,240
256,298
80,88
260,358
318,648
1592,1642
141,137
336,361
28,53
147,304
303,326
168,159
873,959
855,932
517,493
671,795
503,627
279,384
282,290
491,697
590,699
697,759
136,204
242,286
63,77
459,627
192,195
393,365
23,31
62,72
29,65
199,235
70,89
485,673
468,607
142,166
325,345
1182,1292
128,177
604,814
51,66
285,360
176,276
127,144
74,108
659,723
362,399
76,119
686,953
690,786
733,836
92,162
270,230
384,408
430,436
62,64
934,990
879,1144
182,192
711,887
731,894
587,751
162,120
485,497
1136,1125
126,229
212,193
387,420
831,988
1526,1697
1052,1141
780,839
1026,1253
448,601
606,504
666,752
146,190
1009,1235
122,118
122,136
177,195
356,442
348,283
173,185
400,563
1131,1419
126,116
131,192
499,656
580,609
122,160
248,292
802,903
601,786
731,817
882,1270
387,498
187,225
246,267
180,190
135,154
476,725
43,37
640,685
190,178
649,775
945,998
135,133
72,73
317,404
725,694
822,967
301,394
804,840
558,636
191,271
1258,1737
225,267
22,63
140,173
179,213
210,258
45,73
1164,1236
43,50
446,382
132,177
39,40
1130,1186
134,131
593,599
434,488
318,339
872,881
1187,1269
85,109
94,116
1047,1065
264,274
268,355
578,750
212,242
84,146
748,774
716,780
212,200
183,201
712,954
183,187
250,335
1049,1143
1013,1200
363,473
301,525
308,346
735,804
65,155
135,174
152,253
511,558
910,926
218,330
322,482
42,43
402,398
465,560
638,735
1924,1983
1022,1023
104,156
307,345
183,219
601,601
245,299
1283,1398
158,122
930,1503
612,701
928,917
140,298
677,808
913,908
357,683
248,391
361,435
1514,1179
495,713
695,786
330,602
228,240
378,348
110,291
1416,1477
156,176
754,760
411,526
372,456
573,586
128,232
64,66
524,578
233,233
2259,2095
318,325
1378,1357
655,820
776,1389
899,1016
884,789
361,320
132,167
519,600
244,223
628,743
469,499
144,215
445,744
983,999
308,450
55,64
132,318
235,276
1456,1457
1035,938
1101,1268
627,640
558,543
330,359
182,382
721,907
1117,1183
1096,1188
223,380
372,507
224,228
396,475
163,200
1612,1646
1000,885
184,232
314,348
25,25
101,154
124,368
461,563
539,567
162,192
240,457
1015,977
314,397
712,720
902,1012
832,877
720,792
283,409
21,46
41,44
316,412
1256,1269
193,241
837,972
325,287
997,971
379,479
661,737
1028,1038
1404,1459
741,872
650,730
177,186
106,151
261,295
393,404
835,889
12,22
340,440
905,961
813,870
625,648
34,49
196,246
106,132
157,193
822,809
112,134
809,883
333,362
396,500
428,471
46,70
630,644
894,907
1075,1114
678,827
1050,1111
977,1046
249,252
732,862
627,733
704,790
264,352
664,774
31,44
1088,1550
843,883
195,169
161,359
351,387
580,676
93,129
209,197
78,62
762,795
436,440
664,699
493,567
82,125
146,215
396,422
445,482
282,449
453,511
632,777
37,66
53,57
481,431
40,73
585,670
247,383
548,587
908,942
421,525
302,368
190,320
69,136
925,990
815,928
379,425
45,49
969,1047
68,141
1564,1688
88,130
803,780
315,435
743,764
361,364
272,317
76,92
1158,1292
800,961
854,1059
902,1031
73,121
427,486
261,308
344,499
636,678
64,94
234,432
940,956
827,804
58,55
105,150
198,314
541,687
298,382
39,45
732,772
310,387
426,382
312,369
157,213
211,303
876,1067
767,891
1045,1129
930,1076
550,628
357,484
1873,1951
269,275
1777,1698
53,204
232,235
482,553
2576,2492
63,75
122,267
69,86
174,204
1515,1572
80,144
206,387
466,446
791,753
442,466
628,821
542,873
60,58
343,400
83,113
207,302
1300,1351
74,86
180,378
460,835
814,1061
362,443
38,42
597,662
1403,1629
309,409
666,682
617,639
176,226
297,319
30,50
171,184
43,58
939,1102
506,557
280,284
80,76
575,915
706,729
726,795
718,806
328,335
1647,1611
329,369
154,309
733,742
768,791
1184,1421
785,1057
107,121
284,353
1335,1418
365,435
542,629
638,731
216,274
37,52
1536,1448
756,730
39,57
713,800
423,516
484,618
356,615
431,631
304,348
294,360
282,318
44,76
1226,1282
313,336
500,736
379,459
104,126
397,455
247,274
82,106
734,763
376,598
264,292
246,286
52,105
127,133
248,304
213,203
312,300
795,832
1290,1349
462,493
641,705
769,811
539,551
95,123
844,992
124,134
212,271
69,72
24,39
59,107
221,224
947,1193
546,669
215,221
520,486
111,135
1197,1342
1009,1176
176,332
49,45
720,748
399,699
148,169
381,426
769,887
446,517
546,694
412,493
1256,1285
132,130
256,299
50,72
785,861
425,462
151,163
842,982
1018,1144
857,1098
711,720
548,861
1205,1234
62,59
200,280
167,205
481,613
578,640
196,243
446,511
166,320
181,235
313,436
246,354
739,1098
690,806
700,932
186,212
982,1144
339,402
456,671
66,91
186,186
808,740
222,170
110,138
362,456
1088,1332
442,553
231,281
267,314
141,158
269,445
184,179
285,423
1419,1577
165,195
270,280
994,1009
607,659
599,704
113,148
209,388
353,478
575,606
600,562
251,459
168,171
54,79
32,38
479,646
750,956
150,175
828,1051
118,250
1019,1158
34,39
54,69
22,67
1426,1550
706,773
161,249
415,388
469,582
1150,1201
804,1019
116,224
209,443
664,750
1208,1250
203,233
796,905
107,204
429,462
169,247
379,445
281,611
68,132
125,249
197,199
186,212
122,134
187,219
967,1005
1392,1393
48,70
772,1096
970,1043
500,550
677,703
1042,1134
174,173
360,390
385,595
35,68
630,665
80,106
82,130
307,352
307,424
60,72
52,82
65,71
337,445
705,906
471,430
93,93
223,280
683,648
39,57
822,919
256,216
29,44
37,48
388,459
87,180
490,509
625,695
484,483
583,627
178,163
342,345
892,1069
134,191
80,152
622,707
546,635
181,266
94,183
1544,1557
44,58
244,267
161,197
261,318
193,192
1023,1243
175,297
353,589
475,735
163,218
129,130
95,88
409,518
195,271
256,270
35,45
97,103
138,203
333,399
508,663
29,32
470,543
672,711
398,428
810,941
108,148
1269,1359
124,126
72,125
319,644
172,197
97,245
643,779
666,782
80,131
760,783
497,504
627,667
61,65
304,410
293,355
253,354
687,775
875,920
34,53
36,65
33,45
233,318
185,265
90,124
193,463
325,460
593,621
270,514
215,327
68,155
780,933
163,180
171,210
63,94
86,142
581,626
474,528
469,598
118,126
595,701
320,357
1070,1097
100,178
21,32
315,239
644,694
112,106
19,25
47,93
439,536
559,624
701,842
908,1147
969,1079
163,326
124,140
665,722
1348,1349
164,192
716,757
1028,1142
543,867
665,880
77,140
64,61
558,761
773,819
544,638
251,323
442,541
151,203
628,701
285,310
81,195
822,1013
613,654
270,378
552,767
105,128
77,135
126,142
542,589
351,399
244,271
147,277
149,197
410,556
262,221
504,527
782,882
258,288
641,706
268,342
304,400
409,496
514,534
187,452
345,314
1225,1380
226,450
422,447
891,1041
483,621
302,542
604,765
96,113
731,799
394,468
368,377
446,596
1241,1299
506,485
554,527
161,261
252,275
25,25
72,86
163,198
1323,1389
133,131
122,144
270,454
195,397
218,268
118,128
843,918
183,453
1591,1592
501,526
324,433
201,261
21,41
286,284
25,41
96,236
30,50
15,24
488,666
427,526
750,769
295,253
747,873
706,699
395,667
122,182
205,237
86,111
748,664
309,352
1599,1613
532,538
1961,2026
539,732
238,500
44,65
689,770
111,105
358,373
88,104
761,854
27,28
61,65
369,380
996,1116
452,464
45,56
157,319
164,188
260,367
140,145
98,80
1415,1605
178,238
336,430
688,698
476,518
340,382
139,145
66,112
397,671
146,381
276,220
73,78
1015,1134
136,148
208,496
749,783
949,1137
48,61
92,132
49,44
487,501
332,367
138,145
633,752
336,425
96,131
407,503
666,643
934,992
92,108
712,1002
662,758
202,216
236,302
474,662
552,544
683,721
408,509
111,93
159,159
272,327
498,601
213,222
88,146
176,280
35,30
153,153
156,270
453,566
322,335
62,105
114,130
169,195
532,522
442,507
521,585
1109,1240
247,263
115,142
1293,1453
1273,1381
249,261
260,303
1410,1437
354,364
504,569
328,431
458,560
269,413
1321,1325
101,115
511,553
669,805
312,552
150,434
957,979
134,146
128,130
276,285
112,124
678,875
385,388
306,421
184,185
180,219
534,682
101,204
213,233
184,195
785,866
900,983
64,108
441,550
730,1061
84,102
50,68
418,410
1184,1346
53,56
328,432
156,171
343,524
92,172
54,52
545,512
660,670
929,890
928,1018
909,1029
142,166
103,118
872,982
525,591
212,307
574,515
321,403
1307,1366
139,154
367,435
117,141
140,165
533,428
378,502
260,267
406,515
414,347
951,929
51,64
477,488
778,871
313,355
1471,1508
755,861
674,730
487,569
49,74
36,44
156,153
120,116
523,552
577,542
541,626
91,142
216,302
152,220
548,574
146,320
625,563
214,224
349,394
83,111
112,213
64,79
75,93
384,610
402,402
122,130
95,131
119,158
1429,1758
55,67
286,294
128,136
198,168
136,152
823,791
61,64
394,622
372,463
670,979
439,664
604,637
217,302
647,793
665,599
47,62
214,292
513,815
1294,1501
120,143
162,156
90,120
42,63
292,337
1120,1161
436,664
533,575
690,687
1761,1749
306,320
211,291
295,541
53,65
521,584
2773,2911
937,982
325,275
277,332
124,133
120,129
241,412
327,475
666,701
475,628
363,363
139,209
221,287
424,479
458,694
1019,1273
43,59
763,771
658,694
1518,1542
261,189
210,219
188,182
222,360
70,102
834,937
1427,1371
406,417
608,621
55,87
25,24
1602,1654
118,300
115,163
241,281
1112,1055
192,197
809,1028
911,1124
212,227
511,509
95,112
51,65
747,776
140,150
924,1083
644,878
141,171
147,195
692,1163
64,59
157,166
102,156
904,1085
134,197
884,1214
689,735
55,104
60,69
328,328
365,405
151,240
320,344
352,512
570,586
415,443
197,330
48,46
364,364
1472,1651
475,861
978,1075
394,450
81,141
404,406
82,192
29,45
220,236
962,1055
697,816
197,213
434,583
379,598
837,966
1560,1608
373,373
267,393
1130,1215
101,95
1380,1436
395,535
1447,1400
952,1020
730,833
624,669
83,123
235,271
81,156
242,237
332,395
94,175
417,800
623,584
466,510
743,820
212,230
633,665
188,201
657,669
1089,1194
996,1101
56,70
31,50
756,760
347,382
32,27
52,61
1468,1467
722,811
343,355
988,1173
102,94
295,343
51,51
1351,1830
458,453
472,385
188,220
439,447
281,325
940,1107
418,404
481,504
1050,1233
248,437
543,593
888,1081
94,170
94,104
338,386
518,418
102,122
170,280
604,718
1157,1382
168,186
200,318
336,496
589,759
394,422
1071,1138
114,118
375,457
971,968
483,506
489,545
1182,1364
273,294
526,583
68,75
597,732
182,201
457,579
129,174
581,660
269,319
359,411
723,828
276,549
640,777
233,235
72,117
817,966
178,178
218,390
388,724
72,164
21,39
244,249
43,58
573,739
338,377
218,430
286,254
98,98
630,696
547,641
1036,1227
701,714
799,839
1146,1156
180,180
1305,1280
221,442
493,531
623,731
1096,1117
701,791
1293,1375
1207,1208
455,541
1582,1756
894,1319
161,188
305,408
240,360
357,372
25,22
689,934
1242,1306
65,78
247,294
814,930
1145,1226
117,198
470,576
998,982
175,338
264,330
107,132
131,185
1070,1090
759,921
799,920
240,448
252,294
454,872
1005,1036
363,461
994,1038
93,143
218,265
741,836
122,263
210,220
568,658
535,599
292,612
803,1051
208,400
843,1057
376,527
275,431
98,100
280,280
315,445
1011,1199
369,447
197,232
213,275
877,984
1097,1095
51,96
401,609
44,56
32,40
393,469
120,239
626,613
172,205
354,427
1371,1522
28,24
62,95
46,55
806,979
97,173
151,259
209,513
147,243
96,108
182,204
251,262
91,128
1360,1455
515,544
392,489
110,111
653,723
906,1090
1517,1575
1283,1526
52,54
247,279
1169,1164
72,114
890,889
1911,2219
135,291
128,200
455,578
515,529
1073,1090
190,239
306,242
526,581
172,167
248,329
96,242
1399,1457
144,214
1032,1149
379,372
220,401
320,497
254,285
546,792
1957,1920
362,439
172,201
638,724
1843,1930
17,19
156,209
330,412
537,513
951,1103
64,114
334,672
772,798
455,484
1429,1513
611,704
533,697
1476,1522
70,106
559,612
110,146
226,333
355,377
1362,1460
211,251
227,252
670,822
63,65
803,907
87,242
507,638
925,974
55,73
611,753
23,23
22,40
301,421
149,200
19,11
56,108
313,373
109,118
116,98
102,102
937,1141
40,45
198,203
524,556
240,304
673,821
222,246
87,229
465,654
235,387
179,249
472,503
62,106
966,1134
63,94
1006,894
271,239
55,65
95,96
513,585
1038,1129
770,806
252,285
770,777
455,516
339,421
113,322
327,390
358,382
466,526
1122,1116
152,207
107,109
24,22
926,678
67,118
82,78
272,275
112,159
214,254
141,168
329,654
552,771
228,243
132,151
114,126
192,223
493,537
108,84
956,1050
620,849
415,411
1044,1086
251,243
848,770
379,481
582,847
339,343
382,399
958,1002
284,319
745,802
114,178
992,1084
941,878
176,195
627,659
634,734
590,643
1225,1262
630,863
230,254
166,212
786,1021
154,224
1019,1083
132,132
965,1213
549,971
108,132
762,820
990,1098
829,1008
473,437
570,645
106,134
243,348
1137,1192
469,455
208,229
820,799
612,683
274,256
377,432
505,481
148,142
540,866
141,153
879,923
36,38
218,214
81,129
343,387
396,428
198,230
1530,1647
134,221
1117,1367
393,364
165,237
98,117
366,590
344,530
468,564
50,57
531,551
270,416
207,298
93,156
1071,1344
426,524
165,174
801,772
768,899
1094,1181
28,26
24,26
404,480
465,483
37,45
355,337
24,39
151,163
199,206
42,90
424,451
50,63
273,276
260,402
707,1129
192,195
601,619
108,127
173,116
717,579
1281,1323
79,124
40,45
163,201
42,76
381,462
398,440
90,82
265,441
538,492
510,566
22,22
515,481
49,65
47,62
525,664
273,328
91,118
736,741
127,184
156,144
41,49
66,80
641,775
636,718
670,776
452,563
336,488
326,336
76,124
117,255
387,397
552,455
611,633
244,220
987,1234
75,154
1334,1498
842,936
1155,1290
149,186
179,262
832,853
75,238
654,733
57,117
34,39
503,575
869,954
697,762
92,96
170,314
796,833
53,51
1145,1208
620,758
314,662
360,454
240,252
496,586
375,652
347,396
635,605
71,125
183,169
106,124
1154,1251
20,57
301,310
344,340
78,133
104,169
341,369
943,1165
321,539
309,315
70,80
820,1034
1072,1166
655,721
732,794
111,162
1080,1118
316,400
265,298
100,102
698,763
72,112
53,71
413,462
748,1049
187,417
255,336
316,328
675,742
72,92
284,312
179,245
993,1161
565,743
106,126
32,52
1121,1089
365,642
119,115
85,157
868,1001
608,547
717,713
312,541
222,334
643,693
110,126
1334,1495
874,936
1293,1357
169,185
820,1028
830,1029
471,567
709,800
500,821
1083,1077
1296,1596
692,959
561,959
1663,1686
745,936
547,626
1703,1779
344,344
1274,1276
225,354
291,282
1355,1378
391,565
786,876
169,254
462,460
324,670
729,733
677,837
218,302
337,410
206,261
544,630
710,774
350,417
1296,1204
1205,1183
192,171
191,368
3434,3951
599,579
892,1140
717,716
655,779
1500,1627
221,205
619,624
834,872
487,475
276,347
442,471
917,1048
546,617
1361,1430
114,120
472,590
688,773
1034,1090
969,1095
252,332
700,803
885,863
737,792
876,907
149,165
1023,1057
136,144
348,548
575,398
256,262
56,73
304,413
1294,1346
337,391
139,152
45,42
337,420
1235,1471
67,69
45,54
388,509
20,24
114,138
273,399
538,568
529,1072
501,587
398,522
258,345
97,116
882,937
105,119
147,108
143,192
48,60
890,992
521,538
64,110
183,230
751,906
537,552
280,313
362,445
442,430
236,369
52,70
245,260
738,803
571,664
240,260
486,428
97,113
151,193
89,104
409,520
1146,1376
124,206
1141,1160
98,240
119,158
273,288
390,463
178,300
143,224
834,881
120,251
91,113
1035,1074
412,524
402,761
220,208
135,293
342,278
924,1010
1167,1340
27,58
259,367
22,22
304,629
583,680
47,57
666,1098
430,496
1214,1278
814,912
644,756
110,122
332,354
1406,1680
168,255
912,841
499,549
867,833
267,259
644,744
96,93
954,948
744,806
166,306
112,115
299,384
256,244
53,52
131,177
832,902
666,645
119,252
580,640
995,1069
1170,1080
729,696
713,734
689,684
756,934
176,304
696,762
24,35
288,359
672,667
828,758
70,84
818,789
929,1391
604,650
242,268
176,251
86,204
936,1057
143,170
610,660
415,421
107,105
48,51
718,781
320,311
125,148
567,621
128,92
744,727
363,447
125,165
33,49
577,884
2341,2520
1267,1278
145,286
192,229
93,137
306,464
210,125
78,110
958,1200
38,85
516,632
17,25
363,461
51,129
818,1258
1014,1195
681,769
548,553
330,425
137,387
1606,1579
965,1093
143,218
96,150
429,803
156,175
628,690
211,221
694,793
677,859
531,543
176,184
1132,1079
1045,1101
222,252
141,159
104,100
63,141
138,152
258,318
625,671
45,71
770,824
474,553
478,548
724,900
200,327
1158,1148
